0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:36:08 +0900] "GET /Jsp02_MultiDelete/myupdate.jsp?seq=1 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:36:10 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:54 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:54 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:54 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:55 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:55 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:55 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:43:55 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:45:50 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:45:50 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:46 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:46 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:46 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:46 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:46 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:47 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:47 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:47 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:47 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:48 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:49 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:50 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:51 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:51 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:51 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:53:51 +0900] "GET /Jsp02_MultiDelete/myinsert.jsp HTTP/1.1" 200 775
